City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,oranjemund,-28.55,16.4333,14.64,77,84,6.46,NA,1681194274
83,madang,-5.2246,145.7966,28.21,74,91,1.12,PG,1681194275
84,mahebourg,-20.4081,57.7,27.16,83,75,2.57,MU,1681194276
85,boyolangu,-8.1181,111.8935,30.44,62,52,4.42,ID,1681194277
86,aklavik,68.2191,-135.0107,-13.93,96,100,2.59,CA,1681194278
87,saskylakh,71.9167,114.0833,-15.27,83,100,6.09,RU,1681194280
88,businga,3.3333,20.8833,22.41,95,100,1.4,CD,1681194281
89,broome,42.2506,-75.833,9.19,47,66,1.14,US,1681194043
90,palmer,42.1584,-72.3287,9.15,70,0,0.0,US,1681194283
91,bath,51.3779,-2.3591,7.43,89,39,4.11,GB,1681194252
92,khash,28.2211,61.2158,25.7,14,1,5.39,IR,1681194285
93,lagoa,39.05,-27.9833,15.54,89,100,10.59,PT,1681194286
94,mar del plata,-38.0023,-57.5575,18.94,87,100,8.94,AR,1681194009
95,summerville,33.0185,-80.1757,13.88,90,40,2.06,US,1681194269
96,kahului,20.8947,-156.47,23.25,86,40,6.69,US,1681194251
97,kruisfontein,-34.0033,24.7314,15.49,67,35,7.51,ZA,1681194290
98,kirakira,-10.4544,161.9205,27.16,82,86,0.54,SB,1681194291
99,thompson,55.7435,-97.8558,1.09,60,0,2.57,CA,1681194292
100,rocha,-34.4833,-54.3333,15.54,96,47,2.37,UY,1681194293
101,saint-augustin,51.226,-58.6502,0.97,92,90,4.72,CA,1681194294
102,makakilo city,21.3469,-158.0858,23.18,75,0,6.17,US,1681194295
103,camacha,33.0833,-16.3333,14.68,82,20,1.54,PT,1681194296
104,arkhangelskoye,55.8549,35.3287,7.74,76,62,2.1,RU,1681194076
105,lebu,-37.6167,-73.65,14.82,98,71,2.16,CL,1681194299
106,east london,-33.0153,27.9116,16.52,51,20,6.17,ZA,1681194301
107,colwyn bay,53.2948,-3.7267,7.12,77,33,10.33,GB,1681194303
108,clyde river,70.4692,-68.5914,-22.87,70,0,6.69,CA,1681194304
109,bukan,36.521,46.2089,20.65,24,96,7.86,IR,1681194305
110,tura,25.5198,90.2201,34.33,15,1,2.86,IN,1681194307
111,torbay,47.6666,-52.7314,1.82,74,0,9.77,CA,1681194308
112,eyl,7.9803,49.8164,29.74,63,89,6.47,SO,1681194309
113,lasa,46.6166,10.7002,7.49,77,100,0.55,IT,1681194310
114,longyearbyen,78.2186,15.6401,-4.09,80,75,7.2,SJ,1681194311
115,vila franca do campo,37.7167,-25.4333,16.23,93,37,4.09,PT,1681194312
116,vanavara,60.34,102.2797,-1.27,94,100,6.66,RU,1681194313
117,sibu,2.3,111.8167,33.17,52,40,2.57,MY,1681194315
118,aquiraz,-3.9014,-38.3911,24.05,85,96,2.57,BR,1681194316
119,mae hong son,19.3003,97.9685,37.08,32,7,1.54,TH,1681194319
120,kasongo,-4.45,26.6667,21.56,94,96,1.05,CD,1681194320
121,chumikan,54.7183,135.315,-2.99,90,100,9.03,RU,1681194322
122,hasaki,35.7333,140.8333,23.45,66,0,11.93,JP,1681194323
123,gotsu,35.0,132.2167,19.91,61,15,7.91,JP,1681194324
124,bluff,-46.6,168.3333,11.56,94,100,7.19,NZ,1681194325
125,constitucion,-35.3333,-72.4167,14.29,96,100,3.64,CL,1681194328
126,buala,-8.145,159.5921,25.59,85,100,2.23,SB,1681194330
127,dumbea,-22.15,166.45,26.98,78,66,2.08,NC,1681194332
